Harga,title,Kecamatan,Kota,lat,long,Tipe Properti,K. Tidur,K. Mandi,Luas Tanah,Luas Bangunan,Carport,Listrik,K. Tidur Pembantu,K. Mandi Pembantu,Lantai,Kondisi,Garasi,furnishing,TahunRumah,kategori_harga
2990000000.0,"Rumah cantik Sumarecon Bekasi
Lingkungan asri, tenang & nyaman",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,4.0,4.0,239.0,272.0,0.0,4400.0,0.0,1.0,2.0,bagus,0.0,unfurnished,5.0,harga tinggi
1270000000.0,"Rumah Kekinian, Magenta Summarecon Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,2.0,55.0,69.0,1.0,2200.0,0.0,0.0,2.0,bagus,0.0,unfurnished,0.0,harga rendah
1950000000.0,Rumah Cantik 2 Lantai Cluster Bluebell Summarecon Bekasi,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,119.0,131.0,1.0,2200.0,1.0,1.0,2.0,bagus,1.0,unfurnished,2.0,harga tinggi
3300000000.0,Rumah Mewah 2Lantai L10x18 C di Cluster VERNONIA Summarecon Bekasi..,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,180.0,174.0,0.0,3500.0,1.0,1.0,2.0,bagus sekali,2.0,unfurnished,6.0,harga tinggi
4500000000.0,"Rumah Hoek di Cluster Maple Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,4.0,3.0,328.0,196.0,2.0,3500.0,1.0,1.0,2.0,bagus,1.0,unfurnished,9.0,harga sangat tinggi
2700000000.0,"Rumah Siap Huni di Cluster Acasia, Summarecon Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,136.0,200.0,2.0,3500.0,1.0,1.0,2.0,bagus,1.0,semi furnished,9.0,harga tinggi
2350000000.0,Rumah di Cluster Maple Summarecon Bekasi,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,2.0,2.0,144.0,144.0,1.0,4400.0,0.0,0.0,2.0,bagus,1.0,unfurnished,2.0,harga tinggi
4500000000.0,Rumah Cluster Lotus Summarecon Bekasi,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,4.0,4.0,216.0,250.0,2.0,3500.0,1.0,1.0,2.0,bagus,1.0,semi furnished,4.0,harga sangat tinggi
2900000000.0,Rumah Cluster Palm Summarecon Bekasi,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,200.0,152.0,2.0,4400.0,3.0,1.0,2.0,bagus,0.0,semi furnished,2.0,harga tinggi
2700000000.0,Rumah Cluster Acacia Summarecon Bekasi,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,136.0,200.0,1.0,3500.0,1.0,1.0,2.0,bagus,1.0,semi furnished,2.0,harga tinggi
2550000000.0,Rumah Cluster Magnolia Summarecon Bekasi,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,2.0,144.0,186.0,1.0,2200.0,1.0,0.0,2.0,bagus,0.0,unfurnished,2.0,harga tinggi
952000000.0,Rumah Baru Cluster Regia Perumahan Summarecon Crown Gading Bekasi,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,2.0,2.0,55.0,50.0,1.0,2200.0,0.0,0.0,2.0,baru,0.0,unfurnished,0.0,harga rendah
1800000000.0,"Rumah Murah Siap Huni Di Cluster Palm, Summarecon Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,2.0,1.0,119.0,82.0,1.0,2200.0,0.0,0.0,2.0,bagus sekali,1.0,semi furnished,9.0,harga tinggi
2350000000.0,MURAH RUMAH 2 LANTAI CLUSTER LOTUS 8X18 PREMIUM SUMMARECON BEKASI,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,144.0,149.0,1.0,2200.0,1.0,1.0,2.0,bagus,1.0,unfurnished,8.0,harga tinggi
2500000000.0,Rumah 2 Lantai Magnolia Residence 8x18 Renov Summarecon Bekasi,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,144.0,200.0,1.0,2200.0,0.0,0.0,2.0,sudah renovasi,1.0,unfurnished,8.0,harga tinggi
2700000000.0,Rumah Adem Pojok Bluebell 7x17 Premium Hoek Summarecon Bekasi,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,193.0,136.0,1.0,3500.0,1.0,1.0,3.0,bagus,1.0,unfurnished,7.0,harga tinggi
5360000000.0,Summarecon crown gading cluster jasmia,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,5.0,4.0,192.0,370.0,2.0,3500.0,1.0,1.0,2.0,baru,0.0,unfurnished,4.0,harga sangat tinggi
952000000.0,Summarecon crown gading cluster Regia,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,2.0,2.0,55.0,50.0,1.0,2200.0,1.0,1.0,2.0,baru,0.0,unfurnished,0.0,harga rendah
2250000000.0,"Rumah di Cluster bluebell summarecon bekasi, Summarecon Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,4.0,3.0,119.0,150.0,0.0,2200.0,0.0,0.0,2.0,bagus,0.0,unfurnished,2.0,harga tinggi
2250000000.0,"Jual Rumah 2 Lantai Cluster Bluebell 7x17 Terawat, Summarecon",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,2.0,119.0,150.0,1.0,2200.0,1.0,1.0,1.0,bagus,1.0,semi furnished,6.0,harga tinggi
2450000000.0,Rumah Bagus di  Cluster Palm Summarecon Bekasi,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,144.0,150.0,1.0,2200.0,1.0,1.0,1.0,bagus,0.0,unfurnished,6.0,harga tinggi
125000000.0,Rumah mewah Sertategis di Jatiasih Bekasi,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,1.0,110.0,110.0,0.0,1300.0,0.0,0.0,2.0,baru,0.0,unfurnished,0.0,harga sangat rendah
1980000000.0,Rumah Siap Huni di Summarecon Bekasi,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,2.0,2.0,119.0,98.0,1.0,3500.0,0.0,0.0,2.0,bagus,1.0,semi furnished,2.0,harga tinggi
764000000.0,Gracia Ayu Rumah 2 Lantai 3 Kamar Tidur Strategis 2 Menit Stasiun Cibitung,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,78.0,83.0,2.0,2200.0,0.0,0.0,2.0,baru,0.0,unfurnished,0.0,harga sangat rendah
2000000000.0,Rumah perumnas 1 dkt summaren bekasi bebas banjir,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,164.0,155.0,0.0,2200.0,0.0,0.0,1.0,bagus,0.0,semi furnished,12.0,harga tinggi
764000000.0,Gracia Ayu Rumah 2 Lantai 3 Kamar Tidur Strategis 8 Menit Tol Cibitung,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,78.0,83.0,2.0,2200.0,0.0,0.0,2.0,baru,0.0,unfurnished,0.0,harga sangat rendah
2350000000.0,Rumah Bagus Cantik Furnished di Summarecon Bekasi,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,2.0,119.0,140.0,1.0,2200.0,0.0,0.0,2.0,bagus,0.0,furnished,2.0,harga tinggi
2550000000.0,"Dijual Rumah 2 Lantai di Cluster Magnolia, Sudah Renovasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,2.0,144.0,186.0,1.0,2200.0,1.0,1.0,2.0,sudah renovasi,1.0,unfurnished,2.0,harga tinggi
480000000.0,Rumah minimalis termurah di jatiasih bekasi,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,2.0,1.0,55.0,30.0,1.0,1300.0,0.0,0.0,1.0,baru,0.0,unfurnished,0.0,harga sangat rendah
1900000000.0,Di Jual Cepat Rumah Cantik di Cluster Summarecon Bekasi,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,2.0,3.0,91.0,120.0,2.0,2200.0,0.0,0.0,2.0,bagus sekali,0.0,unfurnished,2.0,harga tinggi
300000000.0,"Rumah murah di Bekasi, gabus tambun utara Dekat Akses Toll Cilincing-cibitung",Bekasi, Bekasi,-6.2849775,106.970127,rumah,2.0,1.0,60.0,36.0,1.0,1300.0,0.0,0.0,1.0,baru,0.0,semi furnished,0.0,harga sangat rendah
5270000000.0,"Rumah Luxury Summarecon Crown Gading, di Utara Timur, Jakata",Bekasi, Bekasi,-6.2849775,106.970127,rumah,4.0,3.0,192.0,307.0,2.0,3500.0,1.0,1.0,3.0,baru,0.0,unfurnished,0.0,harga sangat tinggi
2800000000.0,Rumah Minimalis  Murah Di Grand Galaxy City Cluster Victoria Garden 2 Bagus,Bekasi, Bekasi,-6.2849775,106.970127,rumah,4.0,3.0,150.0,200.0,2.0,5500.0,1.0,1.0,2.0,bagus,2.0,furnished,2.0,harga tinggi
2710000000.0,Summarecon Crown Gading Bekasi Kota Mandiri Terbaru Nempel Jakarta,Bekasi, Bekasi,-6.2849775,106.970127,rumah,4.0,4.0,135.0,149.0,2.0,3500.0,0.0,0.0,2.0,bagus,0.0,unfurnished,2.0,harga tinggi
500000000.0,"Dijual Smart House, 5 Juta Sudah Bisa Dapat Rumah Baru di Cluster Pianta di Mutiara Gading City, Bekasi",Bekasi, Bekasi,-6.2849775,106.970127,rumah,3.0,1.0,72.0,42.0,0.0,2200.0,0.0,0.0,1.0,baru,0.0,unfurnished,0.0,harga sangat rendah
439000000.0,"Smart House, 5 Juta Sudah Bisa Dapat Rumah Baru di Cluster Fresia di Mutiara Gading City, Bekasi",Bekasi, Bekasi,-6.2849775,106.970127,rumah,3.0,1.0,60.0,37.0,0.0,2200.0,0.0,0.0,1.0,baru,0.0,unfurnished,0.0,harga sangat rendah
800000000.0,MODERN HUNIAN NYAMAN DENGAN FASILITAS LENGKAP DAN HARGA TERJANGKAU,Bekasi, Bekasi,-6.2849775,106.970127,rumah,3.0,2.0,92.0,82.0,0.0,2200.0,0.0,0.0,2.0,baru,2.0,unfurnished,4.0,harga rendah
850000000.0,"Rumah Murah Siap Huni di Perumahan Bumi Dirgantara Permai, Bekasi",Bekasi, Bekasi,-6.2849775,106.970127,rumah,3.0,2.0,200.0,125.0,1.0,2200.0,1.0,1.0,1.0,bagus,1.0,unfurnished,7.0,harga rendah
700000000.0,"Lelang Perumahan 2 Lt Metland Bekasi, Jawa Barat",Bekasi, Bekasi,-6.2849775,106.970127,rumah,3.0,2.0,90.0,146.0,1.0,3500.0,0.0,0.0,2.0,bagus,1.0,unfurnished,0.0,harga sangat rendah
4950000000.0,Dijual Rumah mewah Full Furnished posisi hook di Taman Permata Cikunir Bekasi,Bekasi, Bekasi,-6.2849775,106.970127,rumah,5.0,4.0,348.0,430.0,1.0,5500.0,1.0,1.0,2.0,bagus,1.0,semi furnished,4.0,harga sangat tinggi
1300000000.0,Rumah Moderen Strategis Dekat Tol Supermarket Bekasi Jawa barat,Bekasi, Bekasi,-6.2849775,106.970127,rumah,4.0,4.0,84.0,105.0,1.0,2200.0,0.0,0.0,2.0,baru,1.0,unfurnished,0.0,harga rendah
